用户名,UID,IP归属地,楼层,时间,评论内容
Dopoil,395447432,北京,4514,2025-06-17 13:56:23,所以没有人关心能不能和黄泉组队吗？
人情是固,357033366,,4513,2025-06-17 13:56:12,终于出手了吗？
米忽悠百梗全书等流萤,364441447,中国香港,4512,2025-06-17 13:56:04,为什么不是裸足
真的时候叫,286541891,,4511,2025-06-17 13:55:45,这个什么出
沧海遗嘱,276240897,江苏,4508,2025-06-17 13:55:27,怎么说呢，感觉头发没有想象中那么对？
流水降降降,441554552,广东,4507,2025-06-17 13:55:19,其实你们米哈游的所有游戏都是完美的，就这样一直原地踏步真挺好的，听话啊，策划，别加剧情跳过，不然高考生都不知道怎么写作文了！加油，愿你们在前行的道路上继续原地踏步。
澜玥nle,357902081,贵州,4506,2025-06-17 13:55:18,好看
貅洛灬,290382272,广东,4505,2025-06-17 13:55:13,大素桑来了，海素桑
世界搬运,334452876,江西,4504,2025-06-17 13:55:09,你说这是素裳sp我都信
小象qaq,366393872,广东,4503,2025-06-17 13:55:08,感觉像拼好皮（）第一眼以为是二创的街头霸王。。。
将军的纸,390045049,江苏,4502,2025-06-17 13:55:07,太好看了，xp党心动了
无想de雷神,361999900,河南,4501,2025-06-17 13:55:02,小提琴呢
开拓令使闪耀登场,303531065,广西,4500,2025-06-17 13:54:47,像希儿+灵砂，挺人山人海的
不明所以的路人玩家,80954236,辽宁,4499,2025-06-17 13:54:25,希望复现当年波波鲨那样，立绘看起来我没什么感觉，但是建模一出来立马就喜欢上了这种。
钟离瑶月,250348801,山东,4498,2025-06-17 13:54:19,“这个姐姐我曾见过的”……为啥脑袋里第一反应是这个
圣狱洛,347909769,福建,4497,2025-06-17 13:54:08,第一眼甚至以为是二创
怎么这么黑啊你,417363758,广东,4496,2025-06-17 13:54:03,我玩星穹铁道就是为了抽海瑟音
聋古,186311363,河南,4495,2025-06-17 13:54:01,脸和发型乍一看像素裳+某太刀侠（估计因为是侧脸），衣服色调又像希儿，主要是标志性的小提琴都没拿啊
莫斯布尔,304576124,广东,4494,2025-06-17 13:54:00,好耶，是海瑟音
呆iu,278075139,江苏,4493,2025-06-17 13:53:57,正好缺个物理对策卡，虽然是dot，但下议院决定冲了
蘇泪紂殤,283051383,,4492,2025-06-17 13:53:55,又是配色欺骗，还以为量子女团又来人了
谜之开拓者XHM,381225867,上海,4490,2025-06-17 13:53:50,
保底专户out,397851096,四川,4489,2025-06-17 13:53:43,吸溜，姐姐你丝袜坏了，我给你补一补
apog111,165562890,广东,4487,2025-06-17 13:53:33,太好了是dot队没救了
该用户已注销,441087078,广东,4486,2025-06-17 13:53:16,这个多久出来啊
Sosowii,306823357,云南,4485,2025-06-17 13:52:51,啊这
漆夜祉兰,340566996,山东,4483,2025-06-17 13:52:50,我还以为是李素裳sp
一系风来,366891156,吉林,4482,2025-06-17 13:52:50,
童话镇里所罗门,284611342,湖北,4481,2025-06-17 13:52:40,隔壁梦见月瑞希的cv
陌陌才是真绝色,387990988,吉林,4479,2025-06-17 13:52:29,李素音
曦熙汐兮,387798338,福建,4477,2025-06-17 13:52:20,所以什么时候出，dot队终于苦尽甘来了
Cute星宝,185854132,广东,4475,2025-06-17 13:52:11,？？这不是素裳的脸，希儿的衣服，灵砂的姿势嘛
轻行易风,293122543,河南,4474,2025-06-17 13:52:09,
哈哈哒12345,311930007,福建,4473,2025-06-17 13:52:03,这不是黑丝版素裳吗，有点失望啊。
睡觉烤串,323204357,山东,4472,2025-06-17 13:52:00,素裳！？
Ariseyaa,18421243,河南,4471,2025-06-17 13:51:48,石见舞菜香，好熟悉的名字
wpjxuwikzn,360652327,湖北,4470,2025-06-17 13:51:45,海瑟！！是石见舞菜香🥰🥰🥰
gdthgn,424219635,湖北,4467,2025-06-17 13:51:20,会出吗
汐人,72179987,辽宁,4465,2025-06-17 13:50:58,这么好看！！
帅石头00,160468637,福建,4463,2025-06-17 13:50:54,有点像希儿
黎茗l,303973995,福建,4462,2025-06-17 13:50:39,
六朝清羽,271800102,安徽,4461,2025-06-17 13:50:39,李，李素裳？
游戏Al玩家,80304004,广东,4460,2025-06-17 13:50:35,这衣服怎么这么熟悉？
時令,73736655,河北,4459,2025-06-17 13:50:31,乍一看裙摆，还以为是希尔呢
我朱某人,338452270,江苏,4457,2025-06-17 13:50:15,阮梅和李素裳的孩子
咕噜咕噜的旅行者,335936899,湖南,4456,2025-06-17 13:50:15,有点眼熟啊
s2NId5Ch1kPWEE0Dm0yz,154084802,浙江,4455,2025-06-17 13:49:45,长的挺好，可惜是个dot
阿莱士的人,273533139,安徽,4454,2025-06-17 13:49:36,来点新四星吧
丝滑美玉,286272879,广东,4449,2025-06-17 13:48:54,卡黑互防2.0要来了吗
九州大同,369533558,河南,4447,2025-06-17 13:48:48,好看，抽
沧北星辰,243395010,四川,4445,2025-06-17 13:48:33,裳裳你怎么穿着希儿的衣服
是真的储君殿下,363068661,河南,4444,2025-06-17 13:48:31,很节俭嘛，丝袜破了都不舍得换，会是个好wife
魈omo,356744331,广西,4443,2025-06-17 13:48:29,dot对能用不
535624624832896150,390527952,广东,4442,2025-06-17 13:48:24,怎么拼好人了？
BBLYYDS,264337475,山东,4441,2025-06-17 13:48:23,李大枕头你怎么回事
无聊ivy,446624372,河北,4440,2025-06-17 13:48:17,为啥仙舟风格？串台了？？？
星茶悦,276341292,广东,4439,2025-06-17 13:48:17,试图改的像散
帅德布德廖,354371710,河南,4438,2025-06-17 13:48:05,犯错了
自当别离,445725641,山西,4437,2025-06-17 13:47:59,真的没人注意海瑟音是破洞黑丝吗？
一起踩罐子咯,248204266,广东,4433,2025-06-17 13:47:29,跟想象中的不太一样
封火保,278942418,江西,4432,2025-06-17 13:47:29,希望建模跟上
阿崽没有猫,107641899,湖北,4431,2025-06-17 13:47:26,李素裳？
鵼終YYDS,372336886,广西,4430,2025-06-17 13:47:19,希儿的身子加芽衣的头
応如天上星,272785619,广东,4428,2025-06-17 13:47:04,有芽衣那味
Q持矢Q,185931968,辽宁,4424,2025-06-17 13:46:37,盲猜DOT扩散（传染）机制，不然杀不了6万人。
等待中hh,247711655,河南,4423,2025-06-17 13:46:34,丑
流水降降降,441554552,广东,4420,2025-06-17 13:46:26,有跳过键能让玩家不按哪才叫硬实力，看到别的游戏加了跳过人照样不按才急是不是有点晚了？现在加，除了徒增笑尓，有啥用？你要不加跳过，我还高看你一分。
梦随风声,284102930,江苏,4419,2025-06-17 13:46:10,说真的，这是我第一次，一眼看过去觉得美的女角色，配色衣着都好看（成女XP），我的仓管01卡芙卡终于要有伴了
非洲裔萌新,225546378,广东,4417,2025-06-17 13:45:48,只需等待😄
取什么名字好难啊,203765155,河北,4416,2025-06-17 13:45:41,长得这么紫色却不是雷属性
大枕头小馒头,375521281,江西,4415,2025-06-17 13:45:41,沃趣！沃趣！沃趣！大素裳！！！
永燃的瞳术师zyt,426349645,河南,4413,2025-06-17 13:45:26,拼好人
ya0071997,290788997,浙江,4410,2025-06-17 13:45:07,刻律去哪里啦
tho33291,171666116,江西,4409,2025-06-17 13:44:59,兄弟们，对不住了，是我撕的
开祷的芭芭拉,408813144,安徽,4408,2025-06-17 13:44:50,sp素裳！还是希儿？
呵孚日,277358680,广东,4407,2025-06-17 13:44:42,这图一眼看去我还以为是量子属性呢！
Crazyhunter,394571486,黑龙江,4406,2025-06-17 13:44:37,豪堪，抽
夜黎风柒,443993538,江西,4401,2025-06-17 13:44:02,丝袜还破了
悠哉滺災,383296778,湖南,4400,2025-06-17 13:43:45,灰色的小鱼苗是开拓者嘛？
破碎蛋壳,76722926,湖北,4398,2025-06-17 13:43:33,角色要不要出的这么快，哪里来那么多票抽
原来沉迷,256044459,海南,4397,2025-06-17 13:43:32,这不是希儿吗
辞玥i,294204609,江西,4396,2025-06-17 13:43:23,。。。
超级狗拖,380809935,江苏,4395,2025-06-17 13:43:21,黑丝必抽
阿捞鹅,290368551,广西,4391,2025-06-17 13:42:37,我以为要出四星呢
神陨永夜,359889085,上海,4388,2025-06-17 13:42:19,什么，丝袜破了，谁干的，哦原来是我，那没事儿了
轻音少女用不毕业,449825731,湖北,4387,2025-06-17 13:42:12,看建模怎么样吧，立绘看着既视感太强了
烨Hawk,366598011,江苏,4386,2025-06-17 13:42:06,太好了咱们dot队又又又又又要站起来了！
笨小孩QL,350147599,江苏,4384,2025-06-17 13:41:59,能直接送给我吗？
逸剑忧伤,76053391,广东,4383,2025-06-17 13:41:40,是你，李大枕头
泠钰111,440821697,山东,4382,2025-06-17 13:41:32,希儿？
慵懒ly,160433673,河南,4380,2025-06-17 13:41:27,丝柯克不歪！！！
兰延,190211700,广东,4377,2025-06-17 13:41:13,有人吗
次级丘丘人,186176320,河北,4376,2025-06-17 13:41:07,坏了，这个真喜欢
川召,252323476,浙江,4375,2025-06-17 13:41:03,为什么袜子要破个洞？
叽咕芈,4654935,江苏,4374,2025-06-17 13:40:58,这是什么拼好人吗？
开学综合征,372738050,广东,4373,2025-06-17 13:40:53,好了，可以安心地攒票🎫
Ironmanmk45,378831169,云南,4372,2025-06-17 13:40:51,好看
九点ccccc,426000499,河南,4371,2025-06-17 13:40:49,物理虚无
不科学电灯泡,82661061,湖北,4368,2025-06-17 13:40:39,拼好人？
米酵子,299431226,安徽,4367,2025-06-17 13:40:32,穿着希儿的衣服，却是个物理虚无吗？哈基海……
逐一发送霹雳15,387970218,湖北,4365,2025-06-17 13:40:22,虚构史学家海瑟音
天边云书,257235713,四川,4363,2025-06-17 13:39:50,不玩dot队，但这个立绘，我是真爱啊。完了，被下议院同意了
璃月老岩头,20739612,河南,4361,2025-06-17 13:39:45,dot的春天终于来了吗？
墨锋云然可知韵,160204750,黑龙江,4360,2025-06-17 13:39:41,这脸....一点点素裳，一点点阮梅，配色像希儿，无法言喻，但还行
樱夜雅,274935937,上海,4358,2025-06-17 13:39:39,脸李素裳 衣服希儿 姿势灵砂
原神欧皇666777,417032680,湖南,4357,2025-06-17 13:39:09,做好入坑dot队的准备了
觉云椒椒秋,310190880,江西,4356,2025-06-17 13:39:08,怎么人山人海的
hyj1325,291257500,云南,4354,2025-06-17 13:39:04,emmm，这立绘我只能说还好我不用抽😂
故晰,295706443,广东,4350,2025-06-17 13:38:52,怎么感觉夏洛又要换头像了
11451452013142580,324279749,广东,4349,2025-06-17 13:38:52,细节黑丝破洞，你是懂我的
菲儿格林特,283295588,河北,4344,2025-06-17 13:38:36,我还以为会像隔壁少女一样是紫长直的发型
帽子尖尖女士z,338158461,浙江,4343,2025-06-17 13:38:34,像之前三蹦子抽的李素裳当时一发没垫就出了
阿斯托尔福2,194424728,江苏,4342,2025-06-17 13:38:33,珊瑚宫素裳？🤔
剑斩九幽,346800825,四川,4340,2025-06-17 13:38:30,还别说，有点好康
决心熊,213210888,江苏,4339,2025-06-17 13:38:28,你怎么穿希儿的衣服啊
千里熏风,344828845,福建,4338,2025-06-17 13:38:24,你怎么长得像姐姐家的大素裳，好漂亮，不玩dot都心动了
五花肉块,379896105,广东,4337,2025-06-17 13:38:22,好像量子。
丹恒的主人,258218040,广西,4336,2025-06-17 13:38:15,芽……芽衣？
hqsta,199557904,上海,4335,2025-06-17 13:38:14,四星立绘
Sianelli,382204169,福建,4334,2025-06-17 13:38:08,我的小提琴呢
来块口香糖,368449255,,4330,2025-06-17 13:37:44,希儿+灵砂
软糯saki酱,385470473,福建,4328,2025-06-17 13:37:33,经典偷懒，直接把自家崩三的角色挪过来用，无敌了
亭台水月,122453267,河北,4327,2025-06-17 13:37:31,
CLunatic,308418325,四川,4326,2025-06-17 13:37:31,"汝怎着希儿之衣
来个那个表情包，就那个"
锦锦锦儿,301162946,安徽,4324,2025-06-17 13:37:26,灵砂，你怎么来翁法罗斯旅游也不和我说一声，还成了黄金裔
咋么了,73229610,广东,4323,2025-06-17 13:37:20,奶一口 刻律德拉是小识同位体
38556286,276848098,湖北,4322,2025-06-17 13:36:58,拼好人
心则灵,364193760,山西,4320,2025-06-17 13:36:50,虚无，然后那个两把剑图标是什么，新属性吗
七字鸭,358521995,广东,4319,2025-06-17 13:36:16,
诚诚草,326314923,河北,4318,2025-06-17 13:36:16,希儿的配色，阮梅的气质，灵砂的长相
法月依,321822650,陕西,4316,2025-06-17 13:36:11,李素裳同位体
吉尔伽美食家,372641045,广东,4313,2025-06-17 13:36:02,这位菇凉有点人山人海
不科学电灯泡,82661061,湖北,4312,2025-06-17 13:36:00,这这这
闪光蛋蛋蛋,6602001,上海,4311,2025-06-17 13:35:58,苍玄同位体吗
鱼星我淦,273508278,湖北,4310,2025-06-17 13:35:54,物理虚无？
深海细作,141303009,江苏,4309,2025-06-17 13:35:46,老婆
施瀚海,74197069,海南,4307,2025-06-17 13:35:34,小李子！我知道是你，别不吱声，偷偷买虚无大佬号玩是吧
牛油果mo,352655927,广东,4306,2025-06-17 13:35:31,明天该发谁了？
东方冷哥,279049687,新疆,4305,2025-06-17 13:35:30,像后崩芽衣
戮血灬天,348974954,广东,4304,2025-06-17 13:35:22,我的小鱼儿你醒了吗
小茶狼,218680273,湖北,4303,2025-06-17 13:35:10,"卧槽李素裳
卧槽希儿
卧槽心海"
xykahn,384965453,上海,4302,2025-06-17 13:35:09,物理虚无？不就是物理消灭么，简单粗暴
嗯呐啊一哦豁,232090519,广东,4301,2025-06-17 13:35:03,丝袜怎么破了
暗夜琉光,73804779,日本,4300,2025-06-17 13:35:01,什么李素裳穿了希尔的衣服？？
飘云之毅,162878453,河南,4299,2025-06-17 13:34:56,这是伊甸的同位体吗？
俩亿只沈梦溪,304170651,福建,4298,2025-06-17 13:34:52,怎么穿希儿的衣服
琪月影,295826646,河北,4297,2025-06-17 13:34:46,这就是翁法洛斯杀神吗？
Saberlionking,4896899,江苏,4296,2025-06-17 13:34:44,能不能不要出屁帘了？好好的腿非要挡着，开服出到现在的角色几乎全都是带屁帘的，服！
OPYYLZJR,344552334,广西,4295,2025-06-17 13:34:43,量子配色
枕云山,393978439,广东,4294,2025-06-17 13:34:39,小月卡感觉抽不过来了……
Zweiilly,184868349,江苏,4293,2025-06-17 13:34:32,是新的大姐姐，我已经跑不动路了
巡海芽衣,423250904,黑龙江,4291,2025-06-17 13:34:23,不知道为何大家之前都奶海瑟音是成女，我看不像成女像少女啊
无事小白,305119194,广东,4290,2025-06-17 13:34:08,老米啊，这俩你觉得像不像
倔强的小番茄,158009515,四川,4289,2025-06-17 13:34:05,这立绘，看的我非常期待角色立绘吧唧啊啊啊啊啊，快端上来吧
焊黄穆诽,329465756,浙江,4288,2025-06-17 13:33:57,赛飞儿太弱了 海塞音能不能让我黄泉再喝口汤
挽歌伊莱恩,289564959,广东,4286,2025-06-17 13:33:40,有一说一，原本几张图都挺少女的，这立绘怎么变御姐了
浮华3000,442614394,福建,4284,2025-06-17 13:33:35,啧啧，好腰
爱莉的奴隶,83277470,江苏,4281,2025-06-17 13:33:13,有点像超能系精灵王
谜之女主琪亚娜,76240705,广西,4280,2025-06-17 13:33:09,阿格莱雅都死了，这海瑟音躲哪去了
FireFly流萤星,183895061,山西,4279,2025-06-17 13:32:57,唉，该说的都说了我不说了
鹤鸣笛声,369653239,河南,4276,2025-06-17 13:32:53,素裳穿着希儿的衣服像灵砂一样躺着
十八岁帅气男主角,287543762,湖南,4275,2025-06-17 13:32:48,有一点像后崩坏里面的芽衣
6白露9,336698770,陕西,4274,2025-06-17 13:32:47,火星重女（幻视）
iBoxomg,383755361,浙江,4273,2025-06-17 13:32:45,破洞黑丝袜，爽歪歪
祭祀少司命,227036249,江苏,4272,2025-06-17 13:32:35,灵砂的感觉
恶饿鹅,194333666,广东,4271,2025-06-17 13:32:24,看着这么柔弱，结果她却可以打得过六个万敌
SIscenery,107869385,广东,4270,2025-06-17 13:32:17,给她换个衣服，出这个，旧衣服就送她了
巡海芽衣,423250904,黑龙江,4269,2025-06-17 13:32:05,海瑟音:“可我不想去dot队啊”
玄天戈,448870526,河南,4268,2025-06-17 13:31:50,衣服与希儿同色，但比希儿色
Leegan,162068488,广东,4267,2025-06-17 13:31:44,安柏！
心在永生,277425327,安徽,4265,2025-06-17 13:31:42,"四星呢？四星呢？四星呢？四星呢？
2.4到3.4真就一个四星不出？
要跑路，搁这捞最后一笔呢？"
不鲛,159412250,海南,4264,2025-06-17 13:31:38,拼好人了属于是
老四真NNN,301874039,河南,4263,2025-06-17 13:31:37,啥属性？看不懂
醉熙媛,301834881,湖南,4261,2025-06-17 13:31:35,这是3.5上半的角色吗？
原chenyi,351421691,广东,4260,2025-06-17 13:31:32,救世主再见，我有新的目标了
秘密的地方,278809048,北京,4259,2025-06-17 13:31:19,李大枕头穿了希儿的衣服
伪小黏,284746384,日本,4258,2025-06-17 13:31:16,我们dot队女子又添一员美将
温迪的天空琴,186798238,重庆,4257,2025-06-17 13:31:13,希儿，别以为你穿了马甲我就不认识你！
233思华年,343096620,湖北,4256,2025-06-17 13:31:10,？
EmpressGo,287250983,山东,4255,2025-06-17 13:31:02,好像某位故人
转生成异世界旅行者,288033264,安徽,4254,2025-06-17 13:31:00,嘶，看来不得不抽了，好看
ltzar,198375377,浙江,4253,2025-06-17 13:30:58,粗略一看像隔壁的大李子，仔细一看又不一样
墨夜流殇,348757639,山东,4252,2025-06-17 13:30:56,好像素裳阿
圜祐,409074560,北京,4251,2025-06-17 13:30:54,拼好人？老米真是一点创意都没了，新角色只能拼凑老角色的元素了吗
scarecr0vv,368339106,湖北,4250,2025-06-17 13:30:51,MDGA!让dot再次伟大
端木惜云,10636364,上海,4249,2025-06-17 13:30:50,我去，好像灵砂穿了希儿的衣服
牵牛去看花,298204798,河南,4246,2025-06-17 13:30:34,裳裳，听话，把哈基海的衣服还回去好吗？
啊盏盏盏,109151079,河北,4245,2025-06-17 13:30:31,看小图好像性转龙丹()
快乐星球的名字,281410248,河北,4243,2025-06-17 13:30:21,你一个物理角色，怎么量子量气的
奥古斯都k,74555540,黑龙江,4242,2025-06-17 13:30:19,这衣服和希儿好像啊
立风raisa,402176153,广西,4241,2025-06-17 13:30:17,像穿着希儿衣服的素裳🤔🤔🤔
舜禹沅东,432848256,山东,4237,2025-06-17 13:30:11,希儿加素裳？
混着C,276887904,河南,4236,2025-06-17 13:30:06,我第一眼还以为是后边芽衣的脸
司龛忧,360512455,广西,4235,2025-06-17 13:30:05,希儿皮肤？
糖苏里脊,298002990,山东,4234,2025-06-17 13:30:03,希儿的配色（不是）
昵称真有乐子,367565630,陕西,4233,2025-06-17 13:29:51,
萌herbrong萌,321729663,江西,4232,2025-06-17 13:29:44,抢了希儿的配色，素裳的脸，白露的海，灵砂的姿势
月色银光照佳人,216161406,广西,4229,2025-06-17 13:29:38,这脸看着有点像影
不死幽冥,373133,山东,4227,2025-06-17 13:29:32,接下来看上去是物理环境的天下了
什么叫星之开拓者阿,298640845,福建,4226,2025-06-17 13:29:31,素裳脸文化最高的一集，会拉小提琴。
伊琴玲萱,13594645,黑龙江,4225,2025-06-17 13:29:31,阮梅气质的李素裳
辰宿列张w,404468801,天津,4223,2025-06-17 13:29:19,这熟悉的卧姿，不会也是dot手吧
胡桃不是警长,314958400,河北,4221,2025-06-17 13:29:15,加油DOT女子不会输
昨天犹如昨天,292836525,湖南,4220,2025-06-17 13:29:11,出手女子即将被毕业
LaniakeaSupercluster,364888514,江苏,4219,2025-06-17 13:29:08,终于啊！dot队的救赎
人理之屑黎子寒,286472986,江西,4218,2025-06-17 13:28:56,说了多少遍了，不要把饭盒穿脚上，怎么这么不长记性😡
萌herbrong萌,321729663,江西,4217,2025-06-17 13:28:49,配色好像希尔
yuharuki,380734933,江苏,4215,2025-06-17 13:28:45,
可莉超cute,413933633,福建,4214,2025-06-17 13:28:43,
samp,358612768,江苏,4213,2025-06-17 13:28:37,配色有点像蕾耶拉
钟离门下第一大将,275498115,广东,4212,2025-06-17 13:28:35,
Elysiay,334300677,江苏,4211,2025-06-17 13:28:34,dot有救了
岚风wuy,74931513,广东,4210,2025-06-17 13:28:31,素裳的身体希尔的衣服
阿提娅,288992476,河南,4209,2025-06-17 13:28:30,李素裳的头，希儿的衣服
夜华秋雨,235145266,上海,4208,2025-06-17 13:28:26,素裳你怎么穿着希儿的衣服？
路过的沼跃鱼,289851993,广东,4207,2025-06-17 13:28:23,李素裳穿着希尔的衣服
mk.膝盖中根箭,73725140,江苏,4205,2025-06-17 13:28:15,这脸，不是阮梅女士吗？为啥都说素裳？
骇兔5h,348930748,山东,4204,2025-06-17 13:28:13,量……物理虚无！
无明双闪,301850196,陕西,4203,2025-06-17 13:28:02,好看是好看 但是这卡池连环轰炸谁都顶不住啊 ，又是白厄 又是saber。冲海这个立绘我又想投资dot了
xingxing逍遥风雨中,155992941,福建,4201,2025-06-17 13:27:59,就挺人山人海的，没有想象中海洋的那种神秘感 ，看实机吧。
达菲克,447770473,北京,4200,2025-06-17 13:27:59,海瑟音和白厄吗？7月up池?
爱呀12138,433071016,,4199,2025-06-17 13:27:51,长的不像沙尼特亚和生理之律者像素裳
惊沧浪,197328291,广东,4198,2025-06-17 13:27:50,难怪是杀神 原来会太虚剑神啊？！
琪亚娜jk,298211176,湖南,4195,2025-06-17 13:27:25,配队非常灵活的dot战舰又要加新人了？
七七琪琪皮皮,335493787,重庆,4194,2025-06-17 13:27:16,黑丝破了
不鲛,159412250,海南,4193,2025-06-17 13:27:16,"你怎么穿着希儿的衣服？ 
既然要追求刺激……"
可我也没钱鸭,295086406,广东,4192,2025-06-17 13:27:16,这不是李素裳吗？
墙头那小子,77221107,山东,4191,2025-06-17 13:27:05,嗯，这位穷的都拼接啦！甚至连袜都穿破洞啦
不语LMZYY,444721657,四川,4189,2025-06-17 13:26:59,李文盲+希儿+灵砂
泡面批发,198236584,广东,4188,2025-06-17 13:26:53,素
LORDVADER,279854555,广东,4185,2025-06-17 13:26:44,我感觉脸更像阮梅吧，而且都是那种清冷的眼神
麦哲伦黑红,346641040,广东,4182,2025-06-17 13:26:34,反差有点大，有点失望😞
HTrCzWTIscMWF,241374756,浙江,4180,2025-06-17 13:26:25,难绷
杀死过往,441134131,浙江,4179,2025-06-17 13:26:22,物理虚无，让我想想，算了不想了不抽
Bocchi啦,380382234,福建,4177,2025-06-17 13:26:00,我是灰色的小鱼苗
角落里的黑影,409827192,广东,4176,2025-06-17 13:25:59,我要建立一个只有下面这句话的楼
唐益航,343920055,安徽,4175,2025-06-17 13:25:59,看的有点像芽衣?
匕念,289143478,贵州,4174,2025-06-17 13:25:58,太好了dot队有救了
趙曌趙,398178065,山东,4173,2025-06-17 13:25:50,看到那个破了的洞吗？我刚撕的
小肴皙,302391011,云南,4172,2025-06-17 13:25:48,拼好角
修行者空,185621538,安徽,4171,2025-06-17 13:25:41,有点像伊甸穿了希儿的衣服
锦喵喵的哥哥酱,19979662,湖北,4169,2025-06-17 13:25:36,素裳穿着希儿的衣服这事情可以说的吗
没有天空的太阳,318452376,江苏,4168,2025-06-17 13:25:35,我c！！！！！！！！
山水思想,374925081,,4167,2025-06-17 13:25:25,这谁顶得住
卡芙卡永远第一2,394490583,海南,4166,2025-06-17 13:25:24,这个日文cv好像有点熟悉了
自闭少年欢乐多6,174820712,河南,4165,2025-06-17 13:25:17,只需等待
月初之辉,310324940,辽宁,4164,2025-06-17 13:25:15,海瑟音要是没拐dot也不好搞吧
vaccccc,73426706,福建,4163,2025-06-17 13:25:13,好美啊啊啊 要抽！！！！！
一发入魂出出出,82550246,辽宁,4161,2025-06-17 13:25:08,我想知道下个版本会不会出现《see you in the next world》
超越与根源,253439594,吉林,4160,2025-06-17 13:25:05,半神海瑟音，阵斩六万敌
hua鹤,376051223,重庆,4159,2025-06-17 13:25:01,物理虚无？有点意思
lslinlslin,348279439,江苏,4158,2025-06-17 13:24:55,灵砂:
莫斯布尔,304576124,广东,4157,2025-06-17 13:24:51,海的女儿
一个厨真理的人,186280445,福建,4155,2025-06-17 13:24:47,dot队吃这么好
舰长沉迷原神,271987977,广东,4154,2025-06-17 13:24:46,灵砂你不在仙舟到这边干嘛？快跑啊！跑，！这里都是刀子！
万敌怎么这么可爱,390200818,广东,4153,2025-06-17 13:24:36,看到了灵砂和希儿的影子
万叶孤舟,271830126,湖北,4151,2025-06-17 13:24:19,怎么感觉好像素裳和灵砂
Lucy5201314,374741671,广东,4149,2025-06-17 13:24:09,太好啦((つ≧▽≦)つ是海瑟音dot队有救了
我的牛呢,292597530,河南,4148,2025-06-17 13:24:09,物理角色是不是有点太多了
萤火微光ly,276920466,陕西,4147,2025-06-17 13:24:09,嗯，感觉嗯好像。
爱莉爱莉嘤嘤嘤,73768327,江苏,4145,2025-06-17 13:24:02,
尘熙吧,298774376,,4144,2025-06-17 13:24:02,我的小鱼，你醒了，还认识早晨吗？昨夜你曾经说愿夜幕永不开启。你的香腮边轻轻滑落的是你的泪，还是我的泪
梦令君,397104758,广东,4143,2025-06-17 13:23:43,计划有变！！！改抽海瑟音
我要你也要,274010067,,4142,2025-06-17 13:23:41,我只关心的是角色什么时候出以及我们的兄弟们能不能十连双金
梦也好希望也好,160007091,江西,4141,2025-06-17 13:23:32,海瑟音是海洋半神吗？还活着吗？
愿望序列,19257670,上海,4138,2025-06-17 13:23:25,拼好人。
只爱心海ll,389697290,江西,4135,2025-06-17 13:23:08,嗨丝
adios49,82054415,云南,4134,2025-06-17 13:23:05,
断桥离魂,261479949,广东,4133,2025-06-17 13:23:05,这不是灵砂吗
璃月老岩头,20739612,河南,4131,2025-06-17 13:23:04,这蕾丝我馋了
墨渊沐池,412562910,安徽,4130,2025-06-17 13:23:03,希儿的配色
白初茗,450729933,福建,4127,2025-06-17 13:22:49,好像是一个dot的虚无角色，但是我们看一下上面两位dot的虚无角色呢？已经入土了
梧桐生兮,349510467,江苏,4125,2025-06-17 13:22:39,像素裳穿着希尔的衣服
吃葡萄不投票,381103464,河北,4124,2025-06-17 13:22:38,海瑟·素裳·希·砂·音，再次见面，你好
白冥落,342959540,河北,4123,2025-06-17 13:22:37,让dot再次伟大😭
吾悦贰,51925801,河南,4122,2025-06-17 13:22:35,素裳加希儿的结合体
想好好的宠爱德莉莎,76449087,广西,4121,2025-06-17 13:22:34,像素裳，又像伊甸
冒菜仙人,256235202,河南,4120,2025-06-17 13:22:31,这不抽的话我是孙子
GordenII,411503255,陕西,4119,2025-06-17 13:22:28,丝袜怎么破了
陈子川10086,75953530,广东,4118,2025-06-17 13:22:26,计划有变
鱼与雨欲予鱼,288964892,浙江,4115,2025-06-17 13:22:12,哇，贞德食泥鸭
weidunhao,76914552,上海,4114,2025-06-17 13:22:07,看色调比较像，但仔细对比，差别还是挺大的
浅画如语,6330684,北京,4112,2025-06-17 13:22:02,
蓝莓飞飞兔,384970302,福建,4111,2025-06-17 13:22:02,
毕忘,414726903,安徽,4110,2025-06-17 13:21:57,。。。
魂殇Ψ墨染尘,72692052,黑龙江,4109,2025-06-17 13:21:55,这不是素裳嘛
随风飘散去,177224179,上海,4108,2025-06-17 13:21:45,不是哥们，现在才出来，刚才刷新半天都没刷新出来
吾悦贰,51925801,河南,4106,2025-06-17 13:21:42,素裳？
早晚做个梦,263674707,安徽,4105,2025-06-17 13:21:41,再信一次dot，可算给我的1命卡等来了
哈德拉冰盖,423030059,湖南,4104,2025-06-17 13:21:32,评论区的翻译大佬去哪了？
我永远喜欢芽衣i,34614736,,4103,2025-06-17 13:21:26,大佬们  一般这个时候放的立绘 什么时候入池子啊
杏仁豆腐钟爱粉,263613091,河北,4100,2025-06-17 13:21:01,另一个角色咋还不发
黑暗龍魔法师,418448715,重庆,4098,2025-06-17 13:20:58,物理虚无吗？
Lyin林,273644947,山东,4097,2025-06-17 13:20:55,是斯缇科西亚！
